"periodo";"nivel_general_aperturas";"indice_icc"
"2022-01-01";"jgrch_ccjcnyh";100
"2022-01-01";"iypcngwjaq";100
"2022-01-01";"iyjm_ba_kzny";100
"2022-01-01";"cyorkq_ealapwjaq";100
"2022-02-01";"jgrch_ccjcnyh";103.809635871582
"2022-02-01";"iypcngwjaq";103.461973487762
"2022-02-01";"iyjm_ba_kzny";104.20903483914
"2022-02-01";"cyorkq_ealapwjaq";103.622082838899
"2022-03-01";"jgrch_ccjcnyh";108.957034113846
"2022-03-01";"iypcngwjaq";107.610731574899
"2022-03-01";"iyjm_ba_kzny";110.388768498453
"2022-03-01";"cyorkq_ealapwjaq";108.74966701378
"2022-04-01";"jgrch_ccjcnyh";111.477783912457
"2022-04-01";"iypcngwjaq";112.466181061394
"2022-04-01";"iyjm_ba_kzny";110.436924672631
"2022-04-01";"cyorkq_ealapwjaq";111.575811880948
"2022-05-01";"jgrch_ccjcnyh";118.877112315922
"2022-05-01";"iypcngwjaq";117.432927656879
"2022-05-01";"iyjm_ba_kzny";120.535830045748
"2022-05-01";"cyorkq_ealapwjaq";118.083775296862
"2022-06-01";"jgrch_ccjcnyh";126.709991582415
"2022-06-01";"iypcngwjaq";123.566031760395
"2022-06-01";"iyjm_ba_kzny";130.22540793836
"2022-06-01";"cyorkq_ealapwjaq";125.428845889941
"2022-07-01";"jgrch_ccjcnyh";135.483287021533
"2022-07-01";"iypcngwjaq";138.761254128399
"2022-07-01";"iyjm_ba_kzny";132.822137022837
"2022-07-01";"cyorkq_ealapwjaq";132.072425511992
"2022-08-01";"jgrch_ccjcnyh";145.610636930569
"2022-08-01";"iypcngwjaq";151.118852644437
"2022-08-01";"iyjm_ba_kzny";141.251319664389
"2022-08-01";"cyorkq_ealapwjaq";139.344844566069
"2022-09-01";"jgrch_ccjcnyh";156.442167573292
"2022-09-01";"iypcngwjaq";160.064244672669
"2022-09-01";"iyjm_ba_kzny";154.302568946676
"2022-09-01";"cyorkq_ealapwjaq";148.885606115645
"2022-10-01";"jgrch_ccjcnyh";167.839396106188
"2022-10-01";"iypcngwjaq";169.532642627698
"2022-10-01";"iyjm_ba_kzny";167.86131021837
"2022-10-01";"cyorkq_ealapwjaq";159.475778784136
"2022-11-01";"jgrch_ccjcnyh";179.137061810414
"2022-11-01";"iypcngwjaq";178.974799800932
"2022-11-01";"iyjm_ba_kzny";181.374673556704
"2022-11-01";"cyorkq_ealapwjaq";169.341857780576
"2022-12-01";"jgrch_ccjcnyh";186.865852665116
"2022-12-01";"iypcngwjaq";187.784463647469
"2022-12-01";"iyjm_ba_kzny";187.849826822989
"2022-12-01";"cyorkq_ealapwjaq";177.732303295958
"2023-01-01";"jgrch_ccjcnyh";199.350126263769
"2023-01-01";"iypcngwjaq";198.348640456047
"2023-01-01";"iyjm_ba_kzny";202.358726454409
"2023-01-01";"cyorkq_ealapwjaq";190.004762712001
"2023-02-01";"jgrch_ccjcnyh";211.370075034168
"2023-02-01";"iypcngwjaq";208.554494864951
"2023-02-01";"iyjm_ba_kzny";216.65740586394
"2023-02-01";"cyorkq_ealapwjaq";200.099290436636
"2023-03-01";"jgrch_ccjcnyh";221.3145913851
"2023-03-01";"iypcngwjaq";220.121250508981
"2023-03-01";"iyjm_ba_kzny";225.344964901558
"2023-03-01";"cyorkq_ealapwjaq";208.070778743774
"2023-04-01";"jgrch_ccjcnyh";239.206936813809
"2023-04-01";"iypcngwjaq";235.713704022078
"2023-04-01";"iyjm_ba_kzny";244.529643829527
"2023-04-01";"cyorkq_ealapwjaq";231.084364581567
"2023-05-01";"jgrch_ccjcnyh";257.819755075442
"2023-05-01";"iypcngwjaq";254.068678459938
"2023-05-01";"iyjm_ba_kzny";263.881943286844
"2023-05-01";"cyorkq_ealapwjaq";247.459214233244
"2023-06-01";"jgrch_ccjcnyh";272.845596155065
"2023-06-01";"iypcngwjaq";272.177532461657
"2023-06-01";"iyjm_ba_kzny";273.523365005279
"2023-06-01";"cyorkq_ealapwjaq";272.894518037763
"2023-07-01";"jgrch_ccjcnyh";295.711557434175
"2023-07-01";"iypcngwjaq";291.6898158621
"2023-07-01";"iyjm_ba_kzny";300.225963586524
"2023-07-01";"cyorkq_ealapwjaq";293.992524963876
"2023-08-01";"jgrch_ccjcnyh";339.438646669623
"2023-08-01";"iypcngwjaq";356.49730805773
"2023-08-01";"iyjm_ba_kzny";325.333851938286
"2023-08-01";"cyorkq_ealapwjaq";322.892499939457
"2023-09-01";"jgrch_ccjcnyh";389.213725188491
"2023-09-01";"iypcngwjaq";390.770483644754
"2023-09-01";"iyjm_ba_kzny";392.367246392917
"2023-09-01";"cyorkq_ealapwjaq";366.70379967549
"2023-10-01";"jgrch_ccjcnyh";416.986323687807
"2023-10-01";"iypcngwjaq";445.998280776365
"2023-10-01";"iyjm_ba_kzny";392.615435905984
"2023-10-01";"cyorkq_ealapwjaq";390.661855520306
"2023-11-01";"jgrch_ccjcnyh";465.072454585773
"2023-11-01";"iypcngwjaq";503.213138487988
"2023-11-01";"iyjm_ba_kzny";433.003648756274
"2023-11-01";"cyorkq_ealapwjaq";430.596792030933
"2023-12-01";"jgrch_ccjcnyh";607.606600110424
"2023-12-01";"iypcngwjaq";746.252544903407
"2023-12-01";"iyjm_ba_kzny";482.497082847141
"2023-12-01";"cyorkq_ealapwjaq";522.668894647196
"2024-01-01";"jgrch_ccjcnyh";702.602210294797
"2024-01-01";"iypcngwjaq";845.05180292268
"2024-01-01";"iyjm_ba_kzny";576.433109221907
"2024-01-01";"cyorkq_ealapwjaq";604.116113304111
"2024-02-01";"jgrch_ccjcnyh";747.937691771585
"2024-02-01";"iypcngwjaq";898.354974437859
"2024-02-01";"iyjm_ba_kzny";588.574947676465
"2024-02-01";"cyorkq_ealapwjaq";767.567545750289
"2024-03-01";"jgrch_ccjcnyh";808.761528923002
"2024-03-01";"iypcngwjaq";943.635705560331
"2024-03-01";"iyjm_ba_kzny";669.452316126762
"2024-03-01";"cyorkq_ealapwjaq";809.398687428862
"2024-04-01";"jgrch_ccjcnyh";847.370183648163
"2024-04-01";"iypcngwjaq";971.165905080758
"2024-04-01";"iyjm_ba_kzny";713.622640810506
"2024-04-01";"cyorkq_ealapwjaq";875.777169657488
"2024-05-01";"jgrch_ccjcnyh";939.090176769277
"2024-05-01";"iypcngwjaq";985.522327285889
"2024-05-01";"iyjm_ba_kzny";888.289714952492
"2024-05-01";"cyorkq_ealapwjaq";952.746631793928
"2024-06-01";"jgrch_ccjcnyh";968.871229057864
"2024-06-01";"iypcngwjaq";997.709813147536
"2024-06-01";"iyjm_ba_kzny";933.141634716897
"2024-06-01";"cyorkq_ealapwjaq";997.117348380275
"2024-07-01";"jgrch_ccjcnyh";986.730990288099
"2024-07-01";"iypcngwjaq";1023.18780256074
"2024-07-01";"iyjm_ba_kzny";942.715452575429
"2024-07-01";"cyorkq_ealapwjaq";1016.98835153658
"2024-08-01";"jgrch_ccjcnyh";1003.14799561924
"2024-08-01";"iypcngwjaq";1044.64642808669
"2024-08-01";"iyjm_ba_kzny";950.710303569114
"2024-08-01";"cyorkq_ealapwjaq";1048.63374744711
"2024-09-01";"jgrch_ccjcnyh";1050.44486482083
"2024-09-01";"iypcngwjaq";1062.89462968828
"2024-09-01";"iyjm_ba_kzny";1024.41888462892
"2024-09-01";"cyorkq_ealapwjaq";1112.7898998216
"2024-10-01";"jgrch_ccjcnyh";1062.73272811202
"2024-10-01";"iypcngwjaq";1077.48540922047
"2024-10-01";"iyjm_ba_kzny";1032.20444148099
"2024-10-01";"cyorkq_ealapwjaq";1135.12944082532
"2024-11-01";"jgrch_ccjcnyh";1073.07549577763
"2024-11-01";"iypcngwjaq";1090.23842917251
"2024-11-01";"iyjm_ba_kzny";1035.27902798615
"2024-11-01";"cyorkq_ealapwjaq";1168.08821511314
"2024-12-01";"jgrch_ccjcnyh";1165.89068001412
"2024-12-01";"iypcngwjaq";1099.7810252002
"2024-12-01";"iyjm_ba_kzny";1222.02867144524
"2024-12-01";"cyorkq_ealapwjaq";1223.02650166695
"2025-01-01";"jgrch_ccjcnyh";1177.13222848764
"2025-01-01";"iypcngwjaq";1113.15748993349
"2025-01-01";"iyjm_ba_kzny";1225.99877757404
"2025-01-01";"cyorkq_ealapwjaq";1258.24554605704
"2025-02-01";"jgrch_ccjcnyh";1203.99608989618
"2025-02-01";"iypcngwjaq";1134.27498529611
"2025-02-01";"iyjm_ba_kzny";1259.22653775629
"2025-02-01";"cyorkq_ealapwjaq";1283.06089006208
"2025-03-01";"jgrch_ccjcnyh";1207.83921508286
"2025-03-01";"iypcngwjaq";1141.50115368954
"2025-03-01";"iyjm_ba_kzny";1258.31805300884
"2025-03-01";"cyorkq_ealapwjaq";1292.86077543409
